metric-type;metric;value;number of samples
sep;pixel_accuracy;0.9977;21
sep;mean_accuracy;0.8958;21
sep;mean_IU;0.8503;21
sep;frequency_weighted_IU;0.9958;21
sep;precision-micro;0.9977;21
sep;recall-micro;0.9977;21
sep;jaccard-micro;0.9956;21
sep;precision-macro;0.8958;21
sep;recall-macro;0.9046;21
sep;jaccard-macro;0.8548;21
sep;precision-weighted;0.9978;21
sep;recall-weighted;0.9977;21
sep;jaccard-weighted;0.9958;21
sep;matthews;0.9208;21
blkx;pixel_accuracy;0.9796;21
blkx;mean_accuracy;0.8877;21
blkx;mean_IU;0.8588;21
blkx;frequency_weighted_IU;0.9610;21
blkx;precision-micro;0.9796;21
blkx;recall-micro;0.9796;21
blkx;jaccard-micro;0.9606;21
blkx;precision-macro;0.8877;21
blkx;recall-macro;0.8965;21
blkx;jaccard-macro;0.8631;21
blkx;precision-weighted;0.9799;21
blkx;recall-weighted;0.9796;21
blkx;jaccard-weighted;0.9609;21
blkx;matthews;0.9614;21
