# sep-matthews
vgg16, 91.29, 91.67, 91.51, 82.74, 90.77, 90.58, 90.59, 90.87, 89.52
resnet34, 89.45, 90.60, 90.85, 82.46, 90.54, 90.34, 90.24, 90.72, 89.82
resnet50, 89.93, 90.94, 91.43, 82.61, 90.22, 90.41, 90.45, 90.79, 89.63
seresnet34, 89.91, 91.17, 91.12, 82.57, 90.32, 90.57, 90.18, 91.19, 89.82
seresnet50, 90.73, 91.32, 91.70, 82.95, 90.34, 90.75, 90.69, 91.44, 89.92
seresnext50, 90.77, 91.45, 91.62, 82.97, 90.88, 90.81, 90.03, 91.24, 90.05
efficientnetb1, 91.36, 92.01, 91.84, 83.17, 91.09, 91.08, 91.18, 91.64, 90.21
efficientnetb2, 91.63, 91.70, 91.86, 83.34, 91.04, 91.15, 91.07, 91.70, 90.27
inceptionv3, 91.06, 91.42, 91.19, 82.80, 90.69, 90.96, 89.99, 91.21, 89.84
inceptionresnetv2, 91.18, 91.64, 91.41, 82.92, 90.70, 90.85, 90.94, 91.09, 89.96
dhSegment, 65.24, 80.42, 77.57, 80.79, 75.92, 74.91, 69.69, 73.47, 83.52
# blk-matthews
vgg16, 92.01, 93.06, 93.81, 91.21, 94.07, 93.84, 93.24, 94.68, 93.82
resnet34, 93.56, 93.59, 94.20, 91.97, 94.27, 94.00, 94.33, 95.00, 94.50
resnet50, 93.21, 93.39, 94.58, 91.58, 94.60, 94.06, 94.79, 95.04, 94.45
seresnet34, 92.49, 93.50, 93.85, 91.49, 94.39, 94.22, 94.10, 95.16, 94.42
seresnet50, 93.53, 93.85, 94.59, 91.82, 94.79, 94.60, 94.39, 94.86, 94.61
seresnext50, 93.61, 93.88, 94.93, 92.19, 94.69, 94.65, 94.73, 95.05, 94.61
efficientnetb1, 92.83, 93.38, 94.17, 91.63, 94.23, 94.05, 93.74, 94.96, 94.56
efficientnetb2, 92.59, 93.07, 94.11, 91.81, 94.18, 94.07, 94.19, 95.03, 94.59
inceptionv3, 93.15, 93.25, 93.70, 91.59, 94.52, 94.24, 94.53, 95.30, 94.76
inceptionresnetv2, 94.14, 93.98, 94.85, 91.64, 95.01, 94.47, 95.07, 95.79, 95.32
dhSegment, 92.95, 94.03, 94.48, 94.09, 94.47, 94.17, 93.41, 94.37, 94.36
# blkx-matthews
vgg16, 91.50, 93.32, 93.61, 91.03, 93.44, 93.37, 93.23, 93.94, 93.21
resnet34, 92.70, 93.09, 93.57, 91.15, 94.11, 93.33, 93.54, 94.65, 93.73
resnet50, 92.42, 93.28, 94.03, 91.29, 94.17, 93.66, 93.80, 94.59, 93.81
seresnet34, 92.59, 92.83, 94.08, 91.43, 93.93, 93.62, 93.68, 94.60, 94.41
seresnet50, 92.60, 93.70, 94.11, 91.65, 94.30, 93.90, 94.27, 94.67, 94.14
seresnext50, 93.37, 93.80, 94.19, 91.59, 94.16, 94.36, 94.29, 94.52, 93.95
efficientnetb1, 92.32, 92.96, 94.02, 90.90, 93.65, 93.77, 93.60, 94.61, 94.28
efficientnetb2, 92.26, 93.11, 93.65, 91.35, 93.82, 93.60, 93.87, 94.85, 94.27
inceptionv3, 92.99, 93.38, 94.01, 91.50, 94.02, 93.88, 93.99, 95.08, 94.34
inceptionresnetv2, 93.32, 93.73, 94.78, 91.71, 94.65, 94.58, 94.60, 95.51, 94.91
dhSegment, 92.91, 94.19, 94.44, 94.04, 94.29, 94.03, 93.26, 94.35, 94.25
# sep-precision
vgg16, 89.06, 91.23, 92.29, 92.28, 89.79, 89.28, 86.39, 90.63, 89.63
resnet34, 89.53, 91.14, 92.29, 91.57, 92.15, 90.46, 90.29, 93.16, 91.39
resnet50, 89.46, 91.02, 92.34, 92.95, 91.10, 89.25, 89.93, 90.56, 89.80
seresnet34, 90.87, 92.09, 92.07, 92.87, 91.91, 91.22, 89.26, 92.35, 91.55
seresnet50, 90.29, 90.60, 91.28, 91.68, 90.94, 89.98, 91.86, 90.30, 89.81
seresnext50, 89.65, 89.94, 92.59, 92.59, 91.61, 91.68, 89.98, 91.06, 90.61
efficientnetb1, 88.32, 91.53, 92.43, 93.66, 91.31, 90.62, 88.40, 92.16, 90.23
efficientnetb2, 88.55, 89.94, 91.83, 92.29, 92.05, 89.84, 89.12, 93.20, 90.32
inceptionv3, 89.04, 91.88, 92.78, 93.10, 90.97, 91.61, 90.08, 92.49, 88.69
inceptionresnetv2, 90.52, 91.45, 92.02, 93.03, 91.32, 92.12, 90.02, 92.15, 90.61
dhSegment, 65.24, 80.42, 77.57, 80.79, 75.92, 74.91, 69.69, 73.47, 83.52
# blk-precision
vgg16, 88.55, 91.81, 91.24, 93.06, 93.38, 94.53, 89.65, 89.38, 88.48
resnet34, 94.67, 93.04, 95.53, 92.00, 95.95, 94.91, 91.18, 95.69, 94.78
resnet50, 92.03, 94.40, 95.64, 92.01, 95.44, 94.94, 94.72, 93.54, 93.47
seresnet34, 93.45, 93.56, 95.39, 93.24, 94.77, 93.89, 91.85, 94.74, 96.86
seresnet50, 91.56, 89.83, 94.11, 93.40, 93.96, 93.54, 96.39, 95.45, 93.60
seresnext50, 93.65, 92.05, 94.78, 92.82, 95.27, 94.37, 92.31, 96.25, 94.08
efficientnetb1, 91.89, 92.42, 95.03, 92.75, 95.23, 93.91, 92.34, 93.84, 95.79
efficientnetb2, 93.54, 91.10, 94.94, 92.40, 94.48, 93.79, 91.08, 94.89, 95.33
inceptionv3, 92.91, 91.85, 93.02, 91.45, 94.59, 95.22, 91.96, 94.29, 94.79
inceptionresnetv2, 93.44, 92.44, 94.92, 93.33, 94.86, 95.85, 95.64, 96.91, 94.05
dhSegment, 92.95, 94.03, 94.48, 94.09, 94.47, 94.17, 93.41, 94.37, 94.36
# blkx-precision
vgg16, 74.28, 81.26, 82.37, 84.25, 78.06, 81.06, 70.97, 78.68, 76.22
resnet34, 81.20, 85.20, 85.18, 85.35, 84.73, 85.68, 79.98, 85.44, 82.84
resnet50, 83.97, 83.63, 84.08, 81.98, 84.70, 85.36, 74.06, 84.15, 86.02
seresnet34, 84.52, 83.52, 88.70, 89.46, 86.85, 84.38, 80.16, 83.00, 87.65
seresnet50, 83.04, 85.61, 87.78, 87.52, 86.68, 83.48, 80.42, 85.54, 86.78
seresnext50, 84.12, 84.51, 90.13, 86.36, 88.77, 88.12, 82.48, 89.21, 85.60
efficientnetb1, 81.52, 85.05, 89.91, 86.10, 91.98, 86.47, 81.21, 90.00, 86.70
efficientnetb2, 84.83, 86.82, 90.18, 87.57, 88.69, 88.77, 84.19, 89.46, 89.58
inceptionv3, 82.38, 83.43, 88.22, 84.06, 84.42, 85.83, 81.85, 85.25, 84.90
inceptionresnetv2, 80.58, 84.16, 92.13, 88.50, 90.30, 90.37, 82.55, 89.64, 88.38
dhSegment, 92.91, 94.19, 94.44, 94.04, 94.29, 94.03, 93.26, 94.35, 94.25
# sep-recall
vgg16, 93.79, 94.01, 94.29, 95.16, 94.45, 94.33, 94.14, 93.90, 93.44
resnet34, 91.78, 93.86, 94.05, 95.17, 94.33, 93.97, 93.01, 93.48, 93.41
resnet50, 92.88, 92.91, 94.13, 94.98, 94.66, 94.46, 93.12, 93.84, 94.03
seresnet34, 91.77, 93.05, 93.82, 94.69, 94.00, 94.42, 93.71, 94.20, 93.48
seresnet50, 92.63, 93.64, 94.35, 95.14, 94.45, 94.70, 93.02, 94.92, 93.45
seresnext50, 93.03, 94.39, 94.58, 94.80, 94.52, 94.74, 93.35, 93.77, 93.84
efficientnetb1, 94.66, 94.34, 94.28, 95.72, 95.13, 95.05, 94.91, 94.80, 94.13
efficientnetb2, 94.16, 94.24, 95.12, 95.79, 94.94, 95.34, 94.53, 94.80, 94.56
inceptionv3, 93.42, 93.93, 94.34, 95.29, 94.74, 94.96, 92.91, 94.01, 94.13
inceptionresnetv2, 93.95, 94.34, 94.72, 94.90, 94.76, 94.72, 94.50, 93.84, 93.54
dhSegment, 65.24, 80.42, 77.57, 80.79, 75.92, 74.91, 69.69, 73.47, 83.52
# blk-recall
vgg16, 95.13, 95.54, 96.69, 95.13, 97.00, 96.52, 96.10, 96.86, 96.43
resnet34, 96.22, 96.03, 96.78, 96.00, 96.89, 96.48, 96.92, 97.37, 96.85
resnet50, 96.05, 95.67, 96.89, 95.66, 97.00, 96.57, 97.08, 97.37, 96.71
seresnet34, 95.81, 96.06, 96.32, 95.54, 96.91, 96.68, 96.51, 97.28, 96.86
seresnet50, 96.07, 96.23, 97.06, 95.74, 96.90, 96.91, 96.93, 96.94, 96.81
seresnext50, 96.40, 96.36, 97.19, 96.37, 97.14, 97.14, 97.04, 97.07, 96.99
efficientnetb1, 96.22, 96.23, 96.80, 95.56, 96.51, 96.56, 96.63, 97.03, 97.00
efficientnetb2, 95.94, 95.91, 96.75, 95.73, 96.58, 96.82, 96.97, 97.48, 97.03
inceptionv3, 96.12, 96.04, 96.67, 95.71, 96.88, 96.60, 97.01, 97.15, 97.13
